Link ID,Start Node ,Start Node Eastings,Start Node Northings,End Node,End Node Eastings,End Node Northings,Region,Road Type
3643-88813,3643,114.2086087,22.31784903,88813,114.2129853,22.3165776,K,MAJOR ROUTE
3644-3690,3644,114.2050832,22.32958324,3690,114.2044784,22.32314208,K,MAJOR ROUTE
3651-4632,3651,114.2313453,22.29983686,4632,114.2326556,22.30057907,HK,MAJOR ROUTE
3664-3458,3664,114.1786087,22.2976604,3458,114.1752503,22.29515207,K,URBAN ROAD
3681-3395,3681,114.1933803,22.32976971,3395,114.1954871,22.33188276,K,URBAN ROAD
3690-3643,3690,114.2044784,22.32314208,3643,114.2086087,22.31784903,K,MAJOR ROUTE
3692-46332,3692,114.1600885,22.30556939,46332,114.1586993,22.3033707,K,MAJOR ROUTE
3715-3457,3715,114.1842724,22.30092907,3457,114.1799795,22.29884491,K,MAJOR ROUTE
4640-4643,4640,114.1768843,22.31303887,4643,114.1779671,22.31068261,K,MAJOR ROUTE
4643-3480,4643,114.1779671,22.31068261,3480,114.1787214,22.30950549,K,MAJOR ROUTE
4644-88801,4644,114.1667863,22.31504492,88801,114.1668217,22.31474503,K,MAJOR ROUTE
4646-88806,4646,114.1783783,22.32418219,88806,114.1783619,22.32392262,K,URBAN ROAD
4647-46478,4647,114.1801853,22.27158776,46478,114.1800966,22.27184808,HK,MAJOR ROUTE
4648-46488,4648,114.1721017,22.27931162,46488,114.1723796,22.27931726,HK,MAJOR ROUTE
4649-46497,4649,114.1938696,22.29201882,46497,114.1936069,22.29177683,HK,MAJOR ROUTE
4649-46499,4649,114.1937854,22.29214274,46499,114.1940759,22.29234236,HK,MAJOR ROUTE
4650-3651,4650,114.2123065,22.28981868,3651,114.2313453,22.29983686,HK,MAJOR ROUTE
4651-4631,4651,114.1828518,22.28367185,4631,114.1800947,22.30213668,HK,MAJOR ROUTE
4652-4633,4652,114.1461486,22.28990414,4633,114.1583983,22.30356597,HK,MAJOR ROUTE
5011-50119,5011,114.2213465,22.28523589,50119,114.2213435,22.28546826,HK,MAJOR ROUTE
7861-7871,7861,114.1812024,22.28124627,7871,114.1805141,22.28093082,HK,URBAN ROAD
7861-50179,7861,114.1812024,22.28124627,50179,114.1777957,22.27993524,HK,URBAN ROAD
7871-7881,7871,114.1805141,22.28093082,7881,114.1800256,22.28195671,HK,URBAN ROAD
7881-870,7881,114.1800256,22.28195671,870,114.1820672,22.282859,HK,MAJOR ROUTE
7891-789,7881,114.1810848,22.28214028,789,114.1815349,22.28205248,HK,MAJOR ROUTE
7882-7891,7882,114.1801302,22.28178145,7891,114.1810848,22.28214028,HK,MAJOR ROUTE
7883-7891,7883,114.1800639,22.28189253,7891,114.1810848,22.28214028,HK,MAJOR ROUTE
7908-7909,7908,114.1834994,22.28232431,7909,114.183985,22.28253493,HK,URBAN ROAD
7909-793,7909,114.183985,22.28253493,793,114.1881324,22.28445655,HK,URBAN ROAD
7918-7919,7918,114.1840393,22.2823418,7919,114.1835586,22.28213405,HK,URBAN ROAD
7919-786,7919,114.1835586,22.28213405,786,114.1819742,22.28155048,HK,URBAN ROAD
8111-46495,8111,114.1961487,22.29299308,46495,114.1941505,22.29223338,HK,MAJOR ROUTE
8182-8111,8182,114.2022864,22.29397645,8111,114.1961487,22.29299308,HK,MAJOR ROUTE
8212-8182,8212,114.2072776,22.29324043,8182,114.2022864,22.29397645,HK,MAJOR ROUTE
8978-896,8978,114.1599488,22.28212151,896,114.1574338,22.28363535,HK,URBAN ROAD
8979-8978,8979,114.1604478,22.28197459,8978,114.1599488,22.28212151,HK,URBAN ROAD
9101-50108,9101,114.2135951,22.28989708,50108,114.2117649,22.29087797,HK,MAJOR ROUTE
30069-888301,30069,114.1628547,22.3095659,888301,114.1617675,22.3090087,K,URBAN ROAD
33671-3363,33671,114.2086271,22.32453351,3363,114.2084512,22.32527154,K,URBAN ROAD
33681-3643,33681,114.2068163,22.31997243,3643,114.2086087,22.31784903,K,MAJOR ROUTE
33691-33671,33691,114.2061566,22.32430065,33671,114.2086271,22.32453351,K,URBAN ROAD
33701-3369,33701,114.2046137,22.32515827,3369,114.2060117,22.32517368,K,URBAN ROAD
34211-33681,34211,114.2030225,22.32335186,33681,114.2068163,22.31997243,K,MAJOR ROUTE
34212-34213,34212,114.2037048,22.32260844,34213,114.2014023,22.32394697,K,MAJOR ROUTE
34212-33701,34212,114.2037048,22.32260844,33701,114.2046137,22.32515827,K,URBAN ROAD
34213-34222,34213,114.2014023,22.32394697,34222,114.1915282,22.32333484,K,MAJOR ROUTE
34214-34211,34214,114.2014149,22.32405925,34211,114.2030225,22.32335186,K,MAJOR ROUTE
34221-34214,34221,114.1914386,22.32336501,34214,114.2014149,22.32405925,K,MAJOR ROUTE
34222-888241,34222,114.1915282,22.32333484,888241,114.1905357,22.32120836,K,MAJOR ROUTE
34371-88821,34371,114.1873413,22.31416598,88821,114.190292,22.32065356,K,MAJOR ROUTE
34372-3450,34372,114.1874229,22.31408382,3450,114.1840841,22.30917749,K,MAJOR ROUTE
34481-34371,34481,114.1840261,22.30938866,34371,114.1873413,22.31416598,K,MAJOR ROUTE
34501-34481,34501,114.1823314,22.30823579,34481,114.1840261,22.30938866,K,URBAN ROAD
34502-88812,34502,114.1838735,22.30898816,88812,114.1815301,22.30755982,K,URBAN ROAD
34551-34554,34551,114.1798367,22.30621032,34554,114.1809047,22.30718443,K,URBAN ROAD
34552-88803,34552,114.1799836,22.30603359,88803,114.1787275,22.30569693,K,URBAN ROAD
34554-34501,34554,114.1809047,22.30718443,34501,114.1823314,22.30823579,K,URBAN ROAD
